case,f,angles_pi,residual,status,branch
APP-196,12,"[2/3, 1/2, 2/3, 1, 1/2]",.10e-49,PASS,"sign-+/R2;lift;k=0,0"
APP-197,42,"[4/21, 16/21, 19/21, 19/42, 11/14]",.6e-50,PASS,"sigma2-+/R1;lift;k=0,0"
APP-197,14,"[4/7, 3/7, 5/7, 5/14, 17/14]",.1e-49,PASS,"sigma2-+/R6;lift;k=0,0"
APP-197,28,"[2/7, 10/7, 6/7, 3/7, 1/7]",0.,PASS,"sigma2+-/R7;lift;k=0,0"
APP-198,28,"[2/7, 10/7, 6/7, 3/7, 1/7]",0.,PASS,"sigma2++/R2;lift;k=0,0"
APP-198,28,"[2/7, 4/7, 6/7, 4/7, 6/7]",.4e-49,PASS,"sigma2++/R2;lift;k=0,0"
APP-199,28,"[2/7, 10/7, 6/7, 3/7, 1/7]",0.,PASS,"sigma2+-/R7;lift;k=0,0"
APP-199,20,"[2/5, 8/5, 4/5, 11/30, 1/30]",.2e-49,PASS,"sigma2--/R1;lift;k=0,0"
APP-199,20,"[2/5, 8/5, 4/5, 1/30, 11/30]",.2e-49,PASS,"sigma2--/R1;lift;k=0,0"
APP-200,28,"[2/7, 10/7, 6/7, 3/7, 1/7]",0.,PASS,"sigma2+-/R6;lift;k=0,0"
APP-201,16,"[1/2, 1/4, 3/4, 13/8, 1/8]",.4e-49,PASS,"sign--/R1;lift;k=0,0"
APP-201,14,"[4/7, 3/7, 5/7, 19/14, 3/14]",.1e-49,PASS,"sigma2-+/R5;lift;k=0,0"
APP-202,20,"[2/5, 2/5, 4/5, 7/10, 9/10]",.1e-49,PASS,"sigma2--/R1;lift;k=0,0"
APP-203,16,"[1/2, 1/4, 3/4, 13/8, 1/8]",.4e-49,PASS,"sign--/R2;lift;k=0,0"
APP-204,20,"[2/5, 2/5, 4/5, 3/5, 1]",.3e-49,PASS,"sigma2++/R2;lift;k=0,0"
APP-204,20,"[2/5, 8/5, 4/5, 11/30, 1/30]",.2e-49,PASS,"sigma2+-/R1;lift;k=0,0"
APP-204,20,"[2/5, 8/5, 4/5, 1/30, 11/30]",.2e-49,PASS,"sigma2+-/R1;lift;k=0,0"
APP-204,20,"[2/5, 2/5, 4/5, 7/10, 9/10]",.1e-49,PASS,"sigma2+-/R1;lift;k=0,0"
APP-205,28,"[2/7, 4/7, 6/7, 4/7, 6/7]",.4e-49,PASS,"sigma2+-/R6;lift;k=0,0"
APP-206,36,"[2/9, 2/3, 8/9, 5/9, 7/9]",.3e-50,PASS,"sigma2+-/R6;lift;k=0,0"
APP-208,12,"[2/3, 4/9, 8/9, 1, 1/3]",0.,PASS,"sigma2+-/R3;lift;k=0,0"
APP-210,20,"[2/3, 2/5, 4/5, 1, 1/3]",0.,PASS,"sigma2+-/R2;lift;k=0,0"
APP-211,20,"[2/3, 2/5, 4/5, 1, 1/3]",0.,PASS,"sigma2+-/R1;lift;k=0,0"
APP-217,12,"[1/2, 1/3, 1, 1/2, 1]",0.,PASS,"sign+-/R7;lift;k=0,0"
APP-223,20,"[2/5, 2/5, 4/5, 3/5, 1]",.3e-49,PASS,"sigma2+-/R1;lift;k=0,0"
APP-223,20,"[2/5, 2/5, 4/5, 7/10, 9/10]",.1e-49,PASS,"sigma2--/R1;lift;k=0,0"
APP-224,20,"[2/5, 2/5, 4/5, 3/5, 1]",.3e-49,PASS,"sigma2+-/R2;lift;k=0,0"
APP-224,20,"[2/5, 2/5, 4/5, 7/10, 9/10]",.1e-49,PASS,"sigma2--/R2;lift;k=0,0"
APP-084,20,"[2/5, 4/5, 2/5, 1, 3/5]",.3e-49,PASS,"sign+-/R4;lift;k=0,0"
